אורתופדיה אחרי דה-דופליקציה,Trimmed,,ProcedureBody - HTML,ProcedurePreview - String (MAX-LENGTH: 140 CHAR),ProcedureHeader -String (MAX-LENGTH: 30 CHAR),Preview length,ID,Header length,New ProcedureHeader (if long etc.),New name length
ניתוחים רובוטיים ולפרוסקופיים,ניתוחים רובוטיים ולפרוסקופיים,2687,"<div class=""procedure-content""><h3 class=""procedure-head"">מהם ניתוחים רובוטיים ולפרוסקופיים?</h3><p class=""procedure-para"">אלו הם ניתוחים מתקדמים המבוצעים באמצעות טכנולוגיה רובוטית או דרך חתכים זעירים עם מצלמה.</p><h3 class=""procedure-head"">יתרונות</h3><ul class=""procedure-ul""><li class=""procedure-li"">דיוק גבוה יותר</li><li class=""procedure-li"">פחות כאב לאחר הניתוח</li><li class=""procedure-li"">צלקות קטנות יותר</li><li class=""procedure-li"">זמן החלמה מהיר יותר</li></ul><h3 class=""procedure-head"">סוגי ניתוחים</h3><ol class=""procedure-ol""><li class=""procedure-li"">החלפת מפרקים (ברך, ירך)</li><li class=""procedure-li"">ניתוחי עמוד שדרה</li><li class=""procedure-li"">תיקוני רצועות וגידים</li><li class=""procedure-li"">ניתוחי בטן ואגן</li></ol><h3 class=""procedure-head"">תהליך הניתוח</h3><p class=""procedure-para"">הניתוח כולל:</p><ul class=""procedure-ul""><li class=""procedure-li"">תכנון מדויק באמצעות הדמיה תלת-ממדית</li><li class=""procedure-li"">שימוש במערכת רובוטית או לפרוסקופית</li><li class=""procedure-li"">ביצוע הניתוח בדיוק גבוה</li><li class=""procedure-li"">מעקב וניטור מתקדם במהלך הניתוח</li></ul></div>","ניתוחים רובוטיים ולפרוסקופיים משלבים טכנולוגיה מתקדמת לביצוע הליכים מדויקים יותר, מאפשרים תוצאות טובות יותר והחלמה מהירה",ניתוחים רובוטיים ולפרוסקופיים,120,2687,71,,0
ניתוחים תחת שיקוף,ניתוחים תחת שיקוף,2691,"<div class=""procedure-content""><h3 class=""procedure-head"">מהם ניתוחים תחת שיקוף?</h3><p class=""procedure-para"">ניתוחים אלו מבוצעים תוך שימוש בהדמיה רנטגנית בזמן אמת, המאפשרת דיוק גבוה וניטור מתמיד.</p><h3 class=""procedure-head"">יתרונות</h3><ul class=""procedure-ul""><li class=""procedure-li"">דיוק גבוה בהחדרת שתלים</li><li class=""procedure-li"">חתכים קטנים יותר</li><li class=""procedure-li"">פחות נזק לרקמות סביב</li><li class=""procedure-li"">זמן ניתוח קצר יותר</li></ul><h3 class=""procedure-head"">סוגי ניתוחים</h3><ol class=""procedure-ol""><li class=""procedure-li"">קיבוע שברים</li><li class=""procedure-li"">ניתוחי עמוד שדרה</li><li class=""procedure-li"">הזרקות מונחות הדמיה</li><li class=""procedure-li"">ניתוחי כף יד וכף רגל</li></ol><h3 class=""procedure-head"">תהליך הניתוח</h3><p class=""procedure-para"">הניתוח כולל:</p><ul class=""procedure-ul""><li class=""procedure-li"">הכנת המטופל והציוד</li><li class=""procedure-li"">שימוש במכשיר שיקוף נייד</li><li class=""procedure-li"">ביצוע הניתוח תוך ניטור מתמיד</li><li class=""procedure-li"">אימות מיקום השתלים בסיום הניתוח</li></ul></div>",ניתוחים תחת שיקוף מאפשרים דיוק גבוה וניטור מתמיד במהלך הניתוח. הם משמשים במגוון התערבויות אורתופדיות ומשפרים את הדיוק והבטיחות של הפרוצדורה.,ניתוחים תחת שיקוף,140,2691,29,,0
עיוותי גפיים,עיוותי גפיים,2814,"<div class=""procedure-content""><h3 class=""procedure-head"">מהם עיוותי גפיים?</h3><p class=""procedure-para"">עיוותי גפיים הם שינויים במבנה או בצורה של העצמות או המפרקים בגפיים העליונות או התחתונות.</p><h3 class=""procedure-head"">סוגים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">רגליים מקושתות (O-legs)</li><li class=""procedure-li"">רגליים מכונסות (X-legs)</li><li class=""procedure-li"">הפרעות בגדילת גפיים</li><li class=""procedure-li"">עיוותים מולדים</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">צילומי רנטגן</li><li class=""procedure-li"">CT או MRI במקרים מורכבים</li><li class=""procedure-li"">הערכת הליכה ותפקוד</li></ol><h3 class=""procedure-head"">אפשרויות טיפול</h3><p class=""procedure-para"">הטיפול תלוי בחומרת העיוות וגיל המטופל:</p><ul class=""procedure-ul""><li class=""procedure-li"">מעקב והתערבות מוקדמת בילדים</li><li class=""procedure-li"">סדים ומכשירים אורתופדיים</li><li class=""procedure-li"">פיזיותרפיה ותרגילים מותאמים</li><li class=""procedure-li"">ניתוחים לתיקון העיוות במקרים חמורים</li></ul></div>","טיפול בעיוותי גפיים כולל אבחון מדויק, מעקב, והתערבות מותאמת אישית. המטרה היא לשפר תפקוד, למנוע סיבוכים ולשפר את איכות החיים.",עיוותי גפיים,124,2814,17,,0
עיוותי כף רגל,עיוותי כף רגל,2816,"<div class=""procedure-content""><h3 class=""procedure-head"">סוגי עיוותי כף רגל</h3><p class=""procedure-para"">עיוותי כף רגל יכולים להיות מולדים או נרכשים, ומשפיעים על מבנה ותפקוד כף הרגל.</p><h3 class=""procedure-head"">עיוותים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כף רגל קלובה</li><li class=""procedure-li"">כף רגל שטוחה</li><li class=""procedure-li"">כף רגל קשותה</li><li class=""procedure-li"">אצבעות פטיש</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית של כף הרגל</li><li class=""procedure-li"">הערכת דפוס הליכה</li><li class=""procedure-li"">צילומי רנטגן</li><li class=""procedure-li"">סריקת CT או MRI במקרים מורכבים</li></ol><h3 class=""procedure-head"">גישות טיפוליות</h3><p class=""procedure-para"">הטיפול מותאם לסוג העיוות וחומרתו:</p><ul class=""procedure-ul""><li class=""procedure-li"">טיפול שמרני: מתיחות, תרגילים, ומדרסים</li><li class=""procedure-li"">גיבוס סדרתי בתינוקות</li><li class=""procedure-li"">נעליים מותאמות אישית</li><li class=""procedure-li"">ניתוח במקרים חמורים או עמידים לטיפול שמרני</li></ul></div>","טיפול בעיוותי כף רגל מתחיל באבחון מוקדם ומדויק. הטיפול משלב גישות שמרניות וניתוחיות בהתאם לצורך, במטרה לשפר תפקוד ולמנוע סיבוכים.",עיוותי כף רגל,129,2816,12,,0
עמוד שדרה - עקמת / פריצות דיסק / דפורמציה,עמוד שדרה - עקמת / פריצות דיסק / דפורמציה,2842,"<div class=""procedure-content""><h3 class=""procedure-head"">בעיות נפוצות בעמוד השדרה</h3><p class=""procedure-para"">עמוד השדרה עלול לסבול ממגוון בעיות מבניות ותפקודיות המשפיעות על איכות החיים.</p><h3 class=""procedure-head"">מצבים שכיחים</h3><ul class=""procedure-ul""><li class=""procedure-li"">עקמת (סקוליוזיס)</li><li class=""procedure-li"">פריצות דיסק</li><li class=""procedure-li"">היצרות תעלת השדרה</li><li class=""procedure-li"">קיפוזיס (גב עגול)</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">צילומי רנטגן</li><li class=""procedure-li"">MRI או CT</li><li class=""procedure-li"">בדיקות נוירולוגיות במידת הצורך</li></ol><h3 class=""procedure-head"">אפשרויות טיפול</h3><p class=""procedure-para"">הטיפול מותאם למצב הספציפי וחומרתו:</p><ul class=""procedure-ul""><li class=""procedure-li"">פיזיותרפיה ותרגילי חיזוק</li><li class=""procedure-li"">מחוך (בעקמת)</li><li class=""procedure-li"">טיפול תרופתי לשיכוך כאבים</li><li class=""procedure-li"">הזרקות אפידורליות</li><li class=""procedure-li"">ניתוח במקרים חמורים או עמידים לטיפול שמרני</li></ul></div>","טיפול בבעיות עמוד שדרה מתחיל באבחון מדויק ומקיף. הגישה הטיפולית משלבת אמצעים שמרניים וניתוחיים בהתאם לצורך, במטרה להקל על הכאב",עמוד שדרה - עקמת / פריצות דיסק / דפורמציה,126,2842,13,,0
פגיעה מולדת במקלעת הברכיאלית - Erb's Palsy,פגיעה מולדת במקלעת הברכיאלית - Erb's Palsy,2863,"<div class=""procedure-content""><h3 class=""procedure-head"">מהי פגיעה מולדת במקלעת הברכיאלית?</h3><p class=""procedure-para"">פגיעה זו, הידועה גם כ-Erb's Palsy, היא נזק לעצבים במקלעת הברכיאלית הנגרם בעת הלידה, המשפיע על תנועת הזרוע והכתף.</p><h3 class=""procedure-head"">תסמינים</h3><ul class=""procedure-ul""><li class=""procedure-li"">חולשה או שיתוק בזרוע</li><li class=""procedure-li"">הגבלה בתנועת הכתף</li><li class=""procedure-li"">אובדן תחושה בחלקים מהזרוע</li><li class=""procedure-li"">עיכוב בהתפתחות מוטורית של היד</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">בדיקות הדמיה: MRI, CT</li><li class=""procedure-li"">בדיקות אלקטרופיזיולוגיות</li><li class=""procedure-li"">מעקב אחר התפתחות מוטורית</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">הטיפול מותאם לחומרת הפגיעה וכולל:</p><ul class=""procedure-ul""><li class=""procedure-li"">פיזיותרפיה אינטנסיבית</li><li class=""procedure-li"">ריפוי בעיסוק</li><li class=""procedure-li"">שימוש בסדים ומכשירי עזר</li><li class=""procedure-li"">ניתוח במקרים חמורים</li></ul></div>","טיפול בפגיעה מולדת במקלעת הברכיאלית (Erb's Palsy) כולל אבחון מוקדם, טיפול שיקומי אינטנסיבי, ובמקרים מסוימים התערבות ניתוחית",פגיעה מולדת במקלעת הברכיאלית - Erb's Palsy,123,2863,41,,0
פגיעות התפתחותיות במפרקי הירך,פגיעות התפתחותיות במפרקי הירך,2865,"<div class=""procedure-content""><h3 class=""procedure-head"">סוגי פגיעות התפתחותיות בירך</h3><p class=""procedure-para"">פגיעות אלו כוללות מצבים כמו דיספלזיה התפתחותית של הירך (DDH) ומחלת Perthes, המשפיעים על התפתחות תקינה של מפרק הירך בילדים.</p><h3 class=""procedure-head"">תסמינים</h3><ul class=""procedure-ul""><li class=""procedure-li"">צליעה או הליכה לא סימטרית</li><li class=""procedure-li"">כאבים במפרק הירך</li><li class=""procedure-li"">הגבלה בטווח התנועה</li><li class=""procedure-li"">אי-שוויון באורך הרגליים</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">אולטרסאונד של מפרקי הירך בתינוקות</li><li class=""procedure-li"">צילומי רנטגן</li><li class=""procedure-li"">MRI במקרים מורכבים</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">הטיפול תלוי בגיל הילד וחומרת הפגיעה:</p><ul class=""procedure-ul""><li class=""procedure-li"">רתמת Pavlik בתינוקות</li><li class=""procedure-li"">גיבוס במקרים מסוימים</li><li class=""procedure-li"">ניתוח לתיקון המפרק</li><li class=""procedure-li"">פיזיותרפיה ושיקום ארוך טווח</li></ul></div>",טיפול בפגיעות התפתחותיות במפרקי הירך מתמקד באבחון מוקדם ככל האפשר והתערבות מתאימה. המטרה היא להבטיח התפתחות תקינה של מפרק,פגיעות התפתחותיות במפרקי הירך,121,2865,42,,0
פגיעות כף יד,פגיעות כף יד,2866,"<div class=""procedure-content""><h3 class=""procedure-head"">סוגי פגיעות בכף היד</h3><p class=""procedure-para"">פגיעות בכף היד כוללות מגוון מצבים, מפציעות חריפות ועד מחלות כרוניות המשפיעות על תפקוד היד.</p><h3 class=""procedure-head"">פגיעות נפוצות</h3><ul class=""procedure-ul""><li class=""procedure-li"">שברים בעצמות כף היד</li><li class=""procedure-li"">קרעים ברצועות</li><li class=""procedure-li"">תסמונת התעלה הקרפלית</li><li class=""procedure-li"">דלקות גידים (טנדיניטיס)</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מדוקדקת</li><li class=""procedure-li"">צילומי רנטגן</li><li class=""procedure-li"">MRI או CT במקרים מורכבים</li><li class=""procedure-li"">בדיקות אלקטרופיזיולוגיות לבעיות עצביות</li></ol><h3 class=""procedure-head"">גישות טיפוליות</h3><p class=""procedure-para"">הטיפול מותאם לסוג הפגיעה וחומרתה:</p><ul class=""procedure-ul""><li class=""procedure-li"">קיבוע עם גבס או סד</li><li class=""procedure-li"">פיזיותרפיה וריפוי בעיסוק</li><li class=""procedure-li"">טיפול תרופתי לשיכוך כאבים ודלקות</li><li class=""procedure-li"">ניתוח במקרים של פגיעות חמורות או כרוניות</li></ul></div>","טיפול בפגיעות כף יד מתמקד באבחון מדויק ובטיפול מותאם אישית. המטרה היא להחזיר את התפקוד המלא של כף היד, להפחית כאב ולמנוע סיבוכים ארוכי טווח.",פגיעות כף יד,140,2866,29,,0
פגיעות עצביות ביד,פגיעות עצביות ביד,2871,"<div class=""procedure-content""><h3 class=""procedure-head"">סוגי פגיעות עצביות ביד</h3><p class=""procedure-para"">פגיעות עצביות ביד כוללות לחץ על עצבים, חתכים, או נזק כתוצאה ממחלות.</p><h3 class=""procedure-head"">תסמינים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">חולשה או שיתוק</li><li class=""procedure-li"">תחושת נימול או עקצוץ</li><li class=""procedure-li"">כאב חד או שורף</li><li class=""procedure-li"">אובדן תחושה</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה נוירולוגית מקיפה</li><li class=""procedure-li"">בדיקות אלקטרופיזיולוגיות (EMG, NCV)</li><li class=""procedure-li"">הדמיה: MRI, אולטרסאונד</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">אפשרויות הטיפול כוללות:</p><ul class=""procedure-ul""><li class=""procedure-li"">טיפול שמרני: סדים, פיזיותרפיה</li><li class=""procedure-li"">טיפול תרופתי לשיכוך כאבים</li><li class=""procedure-li"">ניתוח לשחרור לחץ או תיקון העצב</li><li class=""procedure-li"">שיקום ארוך טווח</li></ul></div>","טיפול בפגיעות עצביות ביד מתמקד באבחון מדויק, הקלה על הלחץ או תיקון הנזק לעצב, ושיקום תפקודי. הטיפול מותאם אישית לסוג וחומרת הפגיעה.",פגיעות עצביות ביד,131,2871,12,,0
פגיעות רקמות רכות,פגיעות רקמות רכות,2872,"<div class=""procedure-content""><h3 class=""procedure-head"">סוגי פגיעות ברקמות רכות</h3><p class=""procedure-para"">פגיעות אלו כוללות מתיחות, קרעים, או חבלות בשרירים, גידים, ורצועות.</p><h3 class=""procedure-head"">תסמינים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאב ורגישות מקומית</li><li class=""procedure-li"">נפיחות ושטפי דם</li><li class=""procedure-li"">הגבלה בטווח התנועה</li><li class=""procedure-li"">חולשה באזור הפגוע</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">הדמיה: אולטרסאונד, MRI</li><li class=""procedure-li"">לעתים נדרשת ארתרוסקופיה אבחנתית</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">הטיפול תלוי בחומרת הפגיעה:</p><ul class=""procedure-ul""><li class=""procedure-li"">RICE (מנוחה, קרח, לחץ, הרמה)</li><li class=""procedure-li"">פיזיותרפיה ותרגילי שיקום</li><li class=""procedure-li"">טיפול תרופתי לשיכוך כאבים ודלקת</li><li class=""procedure-li"">ניתוח במקרים של קרעים משמעותיים</li></ul></div>","טיפול בפגיעות רקמות רכות מתמקד בהפחתת כאב ודלקת, שיקום תפקודי, ומניעת פגיעות חוזרות. הגישה הטיפולית מותאמת לסוג הפגיעה וחומרתה.",פגיעות רקמות רכות,127,2872,17,,0
פולימיאלגיה ריאומטיקה,פולימיאלגיה ריאומטיקה,2879,"<div class=""procedure-content""><h3 class=""procedure-head"">מהי פולימיאלגיה ריאומטיקה?</h3><p class=""procedure-para"">מחלה דלקתית הגורמת לכאבים ונוקשות בשרירים, בעיקר באזור הכתפיים והאגן.</p><h3 class=""procedure-head"">תסמינים עיקריים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאבים ונוקשות בכתפיים, צוואר ומותניים</li><li class=""procedure-li"">עייפות וחולשה כללית</li><li class=""procedure-li"">ירידה בתיאבון ובמשקל</li><li class=""procedure-li"">חום נמוך ודיכאון</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">בדיקות דם לזיהוי סמנים דלקתיים</li><li class=""procedure-li"">לעתים נדרשת ביופסיה של העורק הרקתי</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">הטיפול העיקרי כולל:</p><ul class=""procedure-ul""><li class=""procedure-li"">סטרואידים במינון נמוך</li><li class=""procedure-li"">תרופות נוגדות דלקת לא סטרואידיות</li><li class=""procedure-li"">תוספי סידן וויטמין D</li><li class=""procedure-li"">פיזיותרפיה ותרגילי מתיחה</li></ul></div>","טיפול בפולימיאלגיה ריאומטיקה מתמקד בהפחתת דלקת וכאב, שיפור התפקוד היומיומי, ומניעת סיבוכים. הטיפול דורש מעקב רפואי צמוד והתאמה אישית.",פולימיאלגיה ריאומטיקה,133,2879,17,,0
פולימיוזיטיס ודרמטומיוזיטיס,פולימיוזיטיס ודרמטומיוזיטיס,2880,"<div class=""procedure-content""><h3 class=""procedure-head"">מהן פולימיוזיטיס ודרמטומיוזיטיס?</h3><p class=""procedure-para"">אלו הן מחלות אוטואימוניות הגורמות לדלקת בשרירים, כאשר דרמטומיוזיטיס מערבת גם את העור.</p><h3 class=""procedure-head"">תסמינים</h3><ul class=""procedure-ul""><li class=""procedure-li"">חולשת שרירים, בעיקר בכתפיים וירכיים</li><li class=""procedure-li"">כאבי שרירים</li><li class=""procedure-li"">קושי בעלייה במדרגות או הרמת ידיים</li><li class=""procedure-li"">פריחה אופיינית בדרמטומיוזיטיס</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">בדיקות דם לזיהוי אנזימי שרירים ונוגדנים</li><li class=""procedure-li"">אלקטרומיוגרפיה (EMG)</li><li class=""procedure-li"">ביופסיית שריר</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">הטיפול מתמקד בהפחתת הדלקת ושיפור התפקוד:</p><ul class=""procedure-ul""><li class=""procedure-li"">תרופות סטרואידיות</li><li class=""procedure-li"">תרופות מדכאות חיסון</li><li class=""procedure-li"">פיזיותרפיה ותרגילי חיזוק</li><li class=""procedure-li"">הגנה מהשמש בדרמטומיוזיטיס</li></ul></div>","טיפול בפולימיוזיטיס ודרמטומיוזיטיס כולל אבחון מדויק, טיפול תרופתי להפחתת הדלקת, ושיקום פיזי. המטרה היא לשפר את כוח השרירים ואיכות החיים.",פולימיוזיטיס ודרמטומיוזיטיס,136,2880,21,,0
פיברומיאלגיה,פיברומיאלגיה,2908,"<div class=""procedure-content""><h3 class=""procedure-head"">מהי פיברומיאלגיה?</h3><p class=""procedure-para"">פיברומיאלגיה היא תסמונת כאב כרונית המאופיינת בכאבים מפושטים, עייפות, ובעיות שינה.</p><h3 class=""procedure-head"">תסמינים עיקריים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאבים מפושטים בגוף</li><li class=""procedure-li"">עייפות כרונית</li><li class=""procedure-li"">הפרעות שינה</li><li class=""procedure-li"">בעיות קוגניטיביות (""ערפל מוחי"")</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">הערכה קלינית מקיפה</li><li class=""procedure-li"">בדיקת נקודות רגישות</li><li class=""procedure-li"">שלילת מחלות אחרות</li><li class=""procedure-li"">הערכת חומרת התסמינים</li></ol><h3 class=""procedure-head"">גישות טיפוליות</h3><p class=""procedure-para"">הטיפול בפיברומיאלגיה הוא רב-תחומי:</p><ul class=""procedure-ul""><li class=""procedure-li"">טיפול תרופתי לשיכוך כאבים</li><li class=""procedure-li"">פעילות גופנית מותאמת</li><li class=""procedure-li"">טיפול קוגניטיבי-התנהגותי</li><li class=""procedure-li"">שיפור איכות השינה</li></ul></div>","טיפול בפיברומיאלגיה מתמקד בניהול התסמינים ושיפור איכות החיים. הגישה היא רב-תחומית וכוללת טיפול תרופתי, פעילות גופנית, וטיפול פסיכולוגי.",פיברומיאלגיה,135,2908,27,,0
פיברומיאלגיה וכאב אונקולוגי,פיברומיאלגיה וכאב אונקולוגי,2909,"<div class=""procedure-content""><h3 class=""procedure-head"">הקשר בין פיברומיאלגיה וכאב אונקולוגי</h3><p class=""procedure-para"">פיברומיאלגיה וכאב אונקולוגי הם מצבים כרוניים שעשויים להתקיים במקביל או להשפיע זה על זה.</p><h3 class=""procedure-head"">אתגרים משותפים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאב כרוני מפושט</li><li class=""procedure-li"">עייפות קיצונית</li><li class=""procedure-li"">הפרעות שינה</li><li class=""procedure-li"">השפעה על איכות החיים</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">הערכה קלינית מקיפה</li><li class=""procedure-li"">בדיקות הדמיה ומעבדה</li><li class=""procedure-li"">הערכת מקור הכאב</li><li class=""procedure-li"">אבחון מבדיל בין המצבים</li></ol><h3 class=""procedure-head"">גישות טיפוליות</h3><p class=""procedure-para"">הטיפול משלב גישות לשני המצבים:</p><ul class=""procedure-ul""><li class=""procedure-li"">ניהול כאב מותאם אישית</li><li class=""procedure-li"">טיפול תרופתי משולב</li><li class=""procedure-li"">טיפולים משלימים (כגון דיקור)</li><li class=""procedure-li"">תמיכה פסיכולוגית ורגשית</li></ul></div>",פיברומיאלגיה היא תסמונת כאב כרוני. כאב אונקולוגי קשור לסרטן או לטיפולים בו. שניהם דורשים גישה רב-תחומית לטיפול.,פיברומיאלגיה וכאב אונקולוגי,111,2909,12,,0
פיזיותרפיה,פיזיותרפיה,2913,"<div class=""procedure-content""><h3 class=""procedure-head"">מהי פיזיותרפיה?</h3><p class=""procedure-para"">פיזיותרפיה היא תחום טיפולי המתמקד בשיקום ושיפור התנועה והתפקוד הגופני.</p><h3 class=""procedure-head"">מתי נדרשת פיזיותרפיה?</h3><ul class=""procedure-ul""><li class=""procedure-li"">לאחר פציעות או ניתוחים</li><li class=""procedure-li"">במחלות נוירולוגיות</li><li class=""procedure-li"">בבעיות אורתופדיות כרוניות</li><li class=""procedure-li"">לשיפור יציבה ומניעת כאבים</li></ul><h3 class=""procedure-head"">שיטות טיפול</h3><ol class=""procedure-ol""><li class=""procedure-li"">תרגילי חיזוק ומתיחה</li><li class=""procedure-li"">טכניקות ידניות</li><li class=""procedure-li"">אלקטרותרפיה</li><li class=""procedure-li"">הידרותרפיה</li></ol><h3 class=""procedure-head"">יתרונות</h3><ul class=""procedure-ul""><li class=""procedure-li"">שיפור טווח תנועה</li><li class=""procedure-li"">הפחתת כאב</li><li class=""procedure-li"">חיזוק שרירים</li><li class=""procedure-li"">שיפור שיווי משקל ויציבה</li></ul></div>","פיזיותרפיה מסייעת בשיקום ושיפור התפקוד הגופני באמצעות תרגילים, טכניקות ידניות ואמצעים פיזיקליים. מתאימה למגוון רחב של מצבים רפואיים ופציעות.",פיזיותרפיה,140,2913,27,,0
פלטפוס,פלטפוס,2930,"<div class=""procedure-content""><h3 class=""procedure-head"">מהו פלטפוס?</h3><p class=""procedure-para"">פלטפוס הוא מצב בו קשת כף הרגל שטוחה או נמוכה מהרגיל, מה שעלול להשפיע על יציבה והליכה.</p><h3 class=""procedure-head"">תסמינים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאבים בכף הרגל, קרסול או ברך</li><li class=""procedure-li"">עייפות מהירה ברגליים</li><li class=""procedure-li"">קושי בעמידה ממושכת</li><li class=""procedure-li"">שינויים בדפוס ההליכה</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית של כף הרגל</li><li class=""procedure-li"">ניתוח דפוס הליכה</li><li class=""procedure-li"">צילומי רנטגן או סריקת CT</li><li class=""procedure-li"">בדיקת לחץ על כף הרגל</li></ol><h3 class=""procedure-head"">טיפול</h3><ul class=""procedure-ul""><li class=""procedure-li"">מדרסים מותאמים אישית</li><li class=""procedure-li"">נעליים תומכות</li><li class=""procedure-li"">תרגילי חיזוק לשרירי כף הרגל</li><li class=""procedure-li"">פיזיותרפיה</li><li class=""procedure-li"">ניתוח במקרים חמורים</li></ul></div>","טיפול בפלטפוס מתמקד בהקלה על התסמינים ושיפור תפקוד כף הרגל. כולל שימוש במדרסים, תרגילים ובמקרים מסוימים התערבות ניתוחית.",פלטפוס,120,2930,10,,0
פציעות ספורט ודלקות גידים,פציעות ספורט ודלקות גידים,2981,"<div class=""procedure-content""><h3 class=""procedure-head"">סוגי פציעות ספורט נפוצות</h3><p class=""procedure-para"">פציעות ספורט כוללות מגוון רחב של פגיעות, מנקעים ומתיחות ועד לקרעים בגידים ורצועות.</p><h3 class=""procedure-head"">דלקות גידים שכיחות</h3><ul class=""procedure-ul""><li class=""procedure-li"">דלקת גיד אכילס</li><li class=""procedure-li"">מרפק טניס</li><li class=""procedure-li"">דלקת ברצועה הפטלרית (ברך הקופץ)</li><li class=""procedure-li"">דלקת בגידי הכתף</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">הדמיה: אולטרסאונד, MRI</li><li class=""procedure-li"">הערכת מנגנון הפציעה</li><li class=""procedure-li"">בדיקות תפקוד ספציפיות</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">הטיפול מותאם לסוג הפציעה וחומרתה:</p><ul class=""procedure-ul""><li class=""procedure-li"">RICE (מנוחה, קרח, לחץ, הרמה)</li><li class=""procedure-li"">פיזיותרפיה ושיקום</li><li class=""procedure-li"">תרופות נוגדות דלקת</li><li class=""procedure-li"">הזרקות במקרים מסוימים</li><li class=""procedure-li"">ניתוח בפציעות חמורות</li></ul></div>","פציעות ספורט ודלקות גידים הן בעיות נפוצות בקרב ספורטאים וכוללות פגיעות כמו מתיחות, קרעים ודלקות בגידים. אבחון וטיפול מוקדם חיוניים",פציעות ספורט ודלקות גידים,130,2981,6,,0
